mechanism,label,oversubscription,n_tenants,bound_mode,bound,seed,valid_throughput_Bpns,admission_p99_ns,pinned_peak,reclaimable_capacity_frac,rpe_payload_frac
2PHASE,2Phase (reserve + request),4,32,capacity,512,7,2.0971153004822414,4675.666666666666,128,0.75,0.0
GENONLY,"GenOnly (one-shot check, no pin)",4,32,capacity,512,7,1.73457408,9.0,32,0.9375,0.172890625
PROSE,PROSE (transfer-scoped pin),4,32,capacity,512,8,2.097152,9.0,32,0.9375,0.0
REFCNT,RefCnt (protect before enqueue),4,32,capacity,512,8,2.0971493785632767,342.3333333333333,128,0.75,0.0
2PHASE,2Phase (reserve + request),4,32,capacity,512,8,2.0971153004822414,4675.666666666666,128,0.75,0.0
GENONLY,"GenOnly (one-shot check, no pin)",4,32,capacity,512,8,1.7227776,9.0,32,0.9375,0.178515625
PROSE,PROSE (transfer-scoped pin),4,32,capacity,512,9,2.097152,9.0,32,0.9375,0.0
REFCNT,RefCnt (protect before enqueue),4,32,capacity,512,9,2.0971493785632767,342.3333333333333,128,0.75,0.0
2PHASE,2Phase (reserve + request),4,32,capacity,512,9,2.0971153004822414,4675.666666666666,128,0.75,0.0
GENONLY,"GenOnly (one-shot check, no pin)",4,32,capacity,512,9,1.72834816,9.0,32,0.9375,0.175859375
PROSE,PROSE (transfer-scoped pin),8,8,capacity,512,0,2.097152,9.0,32,0.9375,0.0
REFCNT,RefCnt (protect before enqueue),8,8,capacity,512,0,2.0971493785632767,509.0,256,0.5,0.0
2PHASE,2Phase (reserve + request),8,8,capacity,512,0,2.0971153004822414,7009.0,256,0.5,0.0
