bound_mode,mechanism,oversubscription,n_tenants,seed,valid_throughput_Bpns,admission_p99_ns,pinned_peak,reclaimable_capacity_frac,rpe_payload_frac,stale_admits,stale_admit_rate,retries,retries_per_descriptor,evict_fired,evict_blocked
capacity,PROSE,4,16,0,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2243
capacity,REFCNT,4,16,0,2.0971493785632767,342.3333333333333,128,0.75,0.0,0,0.0,0,0.0,0,2243
capacity,REFCNT_S,4,16,0,1.738995586255517,525.6666666666667,32,0.9375,0.17078125,1093,0.17078125,1107,0.17296875,0,2243
capacity,2PHASE,4,16,0,2.0971153004822414,4675.666666666666,128,0.75,0.0,0,0.0,0,0.0,0,2243
capacity,GENONLY,4,16,0,1.72965888,9.0,32,0.9375,0.175234375,0,0.0,0,0.0,2243,0
capacity,RECLAIM_DEFER,4,16,0,1.72965888,9.0,128,0.75,0.175234375,0,0.0,0,0.0,2243,0
capacity,PROSE_HOSTSEL,4,16,0,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2243
capacity,PROSE,4,16,1,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2315
capacity,REFCNT,4,16,1,2.0971493785632767,342.3333333333333,128,0.75,0.0,0,0.0,0,0.0,0,2315
capacity,REFCNT_S,4,16,1,1.7170410536986829,525.6666666666667,32,0.9375,0.18125,1160,0.18125,1105,0.17265625,0,2315
capacity,2PHASE,4,16,1,2.0971153004822414,4675.666666666666,128,0.75,0.0,0,0.0,0,0.0,0,2315
capacity,GENONLY,4,16,1,1.7178624,9.0,32,0.9375,0.180859375,0,0.0,0,0.0,2315,0
capacity,RECLAIM_DEFER,4,16,1,1.7178624,9.0,128,0.75,0.180859375,0,0.0,0,0.0,2315,0
capacity,PROSE_HOSTSEL,4,16,1,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2315
capacity,PROSE,4,16,2,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2227
capacity,REFCNT,4,16,2,2.0971493785632767,342.3333333333333,128,0.75,0.0,0,0.0,0,0.0,0,2227
capacity,REFCNT_S,4,16,2,1.735063431170711,525.6666666666667,32,0.9375,0.17265625,1105,0.17265625,1111,0.17359375,0,2227
capacity,2PHASE,4,16,2,2.0971153004822414,4675.666666666666,128,0.75,0.0,0,0.0,0,0.0,0,2227
capacity,GENONLY,4,16,2,1.73228032,9.0,32,0.9375,0.173984375,0,0.0,0,0.0,2227,0
capacity,RECLAIM_DEFER,4,16,2,1.73228032,9.0,128,0.75,0.173984375,0,0.0,0,0.0,2227,0
capacity,PROSE_HOSTSEL,4,16,2,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2227
capacity,PROSE,4,16,3,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2227
capacity,REFCNT,4,16,3,2.0971493785632767,342.3333333333333,128,0.75,0.0,0,0.0,0,0.0,0,2227
capacity,REFCNT_S,4,16,3,1.7403063046171192,525.6666666666667,32,0.9375,0.17015625,1089,0.17015625,1130,0.1765625,0,2227
capacity,2PHASE,4,16,3,2.0971153004822414,4675.666666666666,128,0.75,0.0,0,0.0,0,0.0,0,2227
capacity,GENONLY,4,16,3,1.73228032,9.0,32,0.9375,0.173984375,0,0.0,0,0.0,2227,0
capacity,RECLAIM_DEFER,4,16,3,1.73228032,9.0,128,0.75,0.173984375,0,0.0,0,0.0,2227,0
capacity,PROSE_HOSTSEL,4,16,3,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2227
capacity,PROSE,4,16,4,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2194
capacity,REFCNT,4,16,4,2.0971493785632767,342.3333333333333,128,0.75,0.0,0,0.0,0,0.0,0,2194
capacity,REFCNT_S,4,16,4,1.744566139292326,525.6666666666667,32,0.9375,0.168125,1076,0.168125,1098,0.1715625,0,2194
capacity,2PHASE,4,16,4,2.0971153004822414,4675.666666666666,128,0.75,0.0,0,0.0,0,0.0,0,2194
capacity,GENONLY,4,16,4,1.73768704,9.0,32,0.9375,0.17140625,0,0.0,0,0.0,2194,0
capacity,RECLAIM_DEFER,4,16,4,1.73768704,9.0,128,0.75,0.17140625,0,0.0,0,0.0,2194,0
capacity,PROSE_HOSTSEL,4,16,4,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2194
capacity,PROSE,4,16,5,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2212
capacity,REFCNT,4,16,5,2.0971493785632767,342.3333333333333,128,0.75,0.0,0,0.0,0,0.0,0,2212
capacity,REFCNT_S,4,16,5,1.729165198543502,525.6666666666667,32,0.9375,0.17546875,1123,0.17546875,1109,0.17328125,0,2212
capacity,2PHASE,4,16,5,2.0971153004822414,4675.666666666666,128,0.75,0.0,0,0.0,0,0.0,0,2212
capacity,GENONLY,4,16,5,1.73473792,9.0,32,0.9375,0.1728125,0,0.0,0,0.0,2212,0
capacity,RECLAIM_DEFER,4,16,5,1.73473792,9.0,128,0.75,0.1728125,0,0.0,0,0.0,2212,0
capacity,PROSE_HOSTSEL,4,16,5,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2212
capacity,PROSE,4,16,6,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2246
capacity,REFCNT,4,16,6,2.0971493785632767,342.3333333333333,128,0.75,0.0,0,0.0,0,0.0,0,2246
capacity,REFCNT_S,4,16,6,1.7137642577946777,525.6666666666667,32,0.9375,0.1828125,1170,0.1828125,1126,0.1759375,0,2246
capacity,2PHASE,4,16,6,2.0971153004822414,4675.666666666666,128,0.75,0.0,0,0.0,0,0.0,0,2246
capacity,GENONLY,4,16,6,1.72916736,9.0,32,0.9375,0.17546875,0,0.0,0,0.0,2246,0
capacity,RECLAIM_DEFER,4,16,6,1.72916736,9.0,128,0.75,0.17546875,0,0.0,0,0.0,2246,0
capacity,PROSE_HOSTSEL,4,16,6,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2246
capacity,PROSE,4,16,7,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2213
capacity,REFCNT,4,16,7,2.0971493785632767,342.3333333333333,128,0.75,0.0,0,0.0,0,0.0,0,2213
capacity,REFCNT_S,4,16,7,1.7412893433883208,525.6666666666667,32,0.9375,0.1696875,1086,0.1696875,1144,0.17875,0,2213
capacity,2PHASE,4,16,7,2.0971153004822414,4675.666666666666,128,0.75,0.0,0,0.0,0,0.0,0,2213
capacity,GENONLY,4,16,7,1.73457408,9.0,32,0.9375,0.172890625,0,0.0,0,0.0,2213,0
capacity,RECLAIM_DEFER,4,16,7,1.73457408,9.0,128,0.75,0.172890625,0,0.0,0,0.0,2213,0
capacity,PROSE_HOSTSEL,4,16,7,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2213
capacity,PROSE,4,16,8,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2285
capacity,REFCNT,4,16,8,2.0971493785632767,342.3333333333333,128,0.75,0.0,0,0.0,0,0.0,0,2285
capacity,REFCNT_S,4,16,8,1.7278544801818998,525.6666666666667,32,0.9375,0.17609375,1127,0.17609375,1149,0.17953125,0,2285
capacity,2PHASE,4,16,8,2.0971153004822414,4675.666666666666,128,0.75,0.0,0,0.0,0,0.0,0,2285
capacity,GENONLY,4,16,8,1.7227776,9.0,32,0.9375,0.178515625,0,0.0,0,0.0,2285,0
capacity,RECLAIM_DEFER,4,16,8,1.7227776,9.0,128,0.75,0.178515625,0,0.0,0,0.0,2285,0
capacity,PROSE_HOSTSEL,4,16,8,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2285
capacity,PROSE,4,16,9,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2251
capacity,REFCNT,4,16,9,2.0971493785632767,342.3333333333333,128,0.75,0.0,0,0.0,0,0.0,0,2251
capacity,REFCNT_S,4,16,9,1.737029508713114,525.6666666666667,32,0.9375,0.17171875,1099,0.17171875,1153,0.18015625,0,2251
capacity,2PHASE,4,16,9,2.0971153004822414,4675.666666666666,128,0.75,0.0,0,0.0,0,0.0,0,2251
capacity,GENONLY,4,16,9,1.72834816,9.0,32,0.9375,0.175859375,0,0.0,0,0.0,2251,0
capacity,RECLAIM_DEFER,4,16,9,1.72834816,9.0,128,0.75,0.175859375,0,0.0,0,0.0,2251,0
capacity,PROSE_HOSTSEL,4,16,9,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2251
capacity,PROSE,8,16,0,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2302
capacity,REFCNT,8,16,0,2.0971493785632767,509.0,256,0.5,0.0,0,0.0,0,0.0,0,2302
capacity,REFCNT_S,8,16,0,1.7278544801818998,525.6666666666667,32,0.9375,0.17609375,1127,0.17609375,1111,0.17359375,0,2302
capacity,2PHASE,8,16,0,2.0971153004822414,7009.0,256,0.5,0.0,0,0.0,0,0.0,0,2302
capacity,GENONLY,8,16,0,1.71999232,9.0,32,0.9375,0.17984375,0,0.0,0,0.0,2302,0
capacity,RECLAIM_DEFER,8,16,0,1.71999232,9.0,256,0.5,0.17984375,0,0.0,0,0.0,2302,0
capacity,PROSE_HOSTSEL,8,16,0,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2302
capacity,PROSE,8,16,1,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2250
capacity,REFCNT,8,16,1,2.0971493785632767,509.0,256,0.5,0.0,0,0.0,0,0.0,0,2250
capacity,REFCNT_S,8,16,1,1.7193348108314865,525.6666666666667,32,0.9375,0.18015625,1153,0.18015625,1106,0.1728125,0,2250
capacity,2PHASE,8,16,1,2.0971153004822414,7009.0,256,0.5,0.0,0,0.0,0,0.0,0,2250
