bound_mode,mechanism,oversubscription,n_tenants,seed,valid_throughput_Bpns,admission_p99_ns,pinned_peak,reclaimable_capacity_frac,rpe_payload_frac,stale_admits,stale_admit_rate,retries,retries_per_descriptor,evict_fired,evict_blocked
capacity,GENONLY,8,16,6,1.73719552,9.0,32,0.9375,0.171640625,0,0.0,0,0.0,2197,0
capacity,GENONLY_EF,8,16,6,1.7589005658273036,9.0,32,0.9375,0.16129085262904003,0,0.0,0,0.0,2197,0
capacity,PROSE,8,16,7,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2249
capacity,GENONLY,8,16,7,1.72867584,9.0,32,0.9375,0.175703125,0,0.0,0,0.0,2249,0
capacity,GENONLY_EF,8,16,7,1.750894614722624,9.0,32,0.9375,0.16510838760250846,0,0.0,0,0.0,2249,0
capacity,PROSE,8,16,8,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2252
capacity,GENONLY,8,16,8,1.72818432,9.0,32,0.9375,0.1759375,0,0.0,0,0.0,2252,0
capacity,GENONLY_EF,8,16,8,1.7504327329281235,9.0,32,0.9375,0.16532863000482392,0,0.0,0,0.0,2252,0
capacity,PROSE,8,16,9,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2250
capacity,GENONLY,8,16,9,1.728512,9.0,32,0.9375,0.17578125,0,0.0,0,0.0,2250,0
capacity,GENONLY_EF,8,16,9,1.7507406541244572,9.0,32,0.9375,0.1651818017366136,0,0.0,0,0.0,2250,0
capacity,PROSE,16,16,0,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2244
capacity,GENONLY,16,16,0,1.72949504,9.0,32,0.9375,0.1753125,0,0.0,0,0.0,2244,0
capacity,GENONLY_EF,16,16,0,1.7516644177134588,9.0,32,0.9375,0.16474131693198263,0,0.0,0,0.0,2244,0
capacity,PROSE,16,16,1,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2258
capacity,GENONLY,16,16,1,1.72720128,9.0,32,0.9375,0.17640625,0,0.0,0,0.0,2258,0
capacity,GENONLY_EF,16,16,1,1.7495089693391221,9.0,32,0.9375,0.16576911480945491,0,0.0,0,0.0,2258,0
capacity,PROSE,16,16,2,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2198
capacity,GENONLY,16,16,2,1.73703168,9.0,32,0.9375,0.17171875,0,0.0,0,0.0,2198,0
capacity,GENONLY_EF,16,16,2,1.7587466052291363,9.0,32,0.9375,0.16136426676314522,0,0.0,0,0.0,2198,0
capacity,PROSE,16,16,3,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2155
capacity,GENONLY,16,16,3,1.7440768,9.0,32,0.9375,0.168359375,0,0.0,0,0.0,2155,0
capacity,GENONLY_EF,16,16,3,1.7653669109503136,9.0,32,0.9375,0.15820745899662325,0,0.0,0,0.0,2155,0
capacity,PROSE,16,16,4,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2266
capacity,GENONLY,16,16,4,1.72589056,9.0,32,0.9375,0.17703125,0,0.0,0,0.0,2266,0
capacity,GENONLY_EF,16,16,4,1.7482772845537868,9.0,32,0.9375,0.16635642788229618,0,0.0,0,0.0,2266,0
capacity,PROSE,16,16,5,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2234
capacity,GENONLY,16,16,5,1.73113344,9.0,32,0.9375,0.17453125,0,0.0,0,0.0,2234,0
capacity,GENONLY_EF,16,16,5,1.753204023695128,9.0,32,0.9375,0.16400717559093103,0,0.0,0,0.0,2234,0
capacity,PROSE,16,16,6,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2255
capacity,GENONLY,16,16,6,1.7276928,9.0,32,0.9375,0.176171875,0,0.0,0,0.0,2255,0
capacity,GENONLY_EF,16,16,6,1.7499708511336227,9.0,32,0.9375,0.16554887240713942,0,0.0,0,0.0,2255,0
capacity,PROSE,16,16,7,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2286
capacity,GENONLY,16,16,7,1.72261376,9.0,32,0.9375,0.17859375,0,0.0,0,0.0,2286,0
capacity,GENONLY_EF,16,16,7,1.7451980725904486,9.0,32,0.9375,0.1678247105643994,0,0.0,0,0.0,2286,0
capacity,PROSE,16,16,8,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2267
capacity,GENONLY,16,16,8,1.72572672,9.0,32,0.9375,0.177109375,0,0.0,0,0.0,2267,0
capacity,GENONLY_EF,16,16,8,1.74812332395562,9.0,32,0.9375,0.16642984201640135,0,0.0,0,0.0,2267,0
capacity,PROSE,16,16,9,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2252
capacity,GENONLY,16,16,9,1.72818432,9.0,32,0.9375,0.1759375,0,0.0,0,0.0,2252,0
capacity,GENONLY_EF,16,16,9,1.7504327329281235,9.0,32,0.9375,0.16532863000482392,0,0.0,0,0.0,2252,0
capacity,PROSE,32,16,0,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2260
capacity,GENONLY,32,16,0,1.7268736,9.0,32,0.9375,0.1765625,0,0.0,0,0.0,2260,0
capacity,GENONLY_EF,32,16,0,1.7492010481427884,9.0,32,0.9375,0.16591594307766522,0,0.0,0,0.0,2260,0
capacity,PROSE,32,16,1,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2282
capacity,GENONLY,32,16,1,1.72326912,9.0,32,0.9375,0.17828125,0,0.0,0,0.0,2282,0
capacity,GENONLY_EF,32,16,1,1.7458139149831164,9.0,32,0.9375,0.16753105402797877,0,0.0,0,0.0,2282,0
capacity,PROSE,32,16,2,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2290
capacity,GENONLY,32,16,2,1.7219584,9.0,32,0.9375,0.17890625,0,0.0,0,0.0,2290,0
capacity,GENONLY_EF,32,16,2,1.7445822301977811,9.0,32,0.9375,0.16811836710082007,0,0.0,0,0.0,2290,0
capacity,PROSE,32,16,3,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2230
capacity,GENONLY,32,16,3,1.7317888,9.0,32,0.9375,0.17421875,0,0.0,0,0.0,2230,0
capacity,GENONLY_EF,32,16,3,1.7538198660877955,9.0,32,0.9375,0.16371351905451037,0,0.0,0,0.0,2230,0
capacity,PROSE,32,16,4,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2228
capacity,GENONLY,32,16,4,1.73211648,9.0,32,0.9375,0.1740625,0,0.0,0,0.0,2228,0
capacity,GENONLY_EF,32,16,4,1.7541277872841292,9.0,32,0.9375,0.16356669078630007,0,0.0,0,0.0,2228,0
capacity,PROSE,32,16,5,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2232
capacity,GENONLY,32,16,5,1.73146112,9.0,32,0.9375,0.174375,0,0.0,0,0.0,2232,0
capacity,GENONLY_EF,32,16,5,1.7535119448914618,9.0,32,0.9375,0.1638603473227207,0,0.0,0,0.0,2232,0
capacity,PROSE,32,16,6,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2198
capacity,GENONLY,32,16,6,1.73703168,9.0,32,0.9375,0.17171875,0,0.0,0,0.0,2198,0
capacity,GENONLY_EF,32,16,6,1.7587466052291363,9.0,32,0.9375,0.16136426676314522,0,0.0,0,0.0,2198,0
capacity,PROSE,32,16,7,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2275
capacity,GENONLY,32,16,7,1.724416,9.0,32,0.9375,0.177734375,0,0.0,0,0.0,2275,0
capacity,GENONLY_EF,32,16,7,1.7468916391702847,9.0,32,0.9375,0.16701715508924264,0,0.0,0,0.0,2275,0
capacity,PROSE,32,16,8,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2227
capacity,GENONLY,32,16,8,1.73228032,9.0,32,0.9375,0.173984375,0,0.0,0,0.0,2227,0
capacity,GENONLY_EF,32,16,8,1.754281747882296,9.0,32,0.9375,0.16349327665219487,0,0.0,0,0.0,2227,0
capacity,PROSE,32,16,9,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2288
capacity,GENONLY,32,16,9,1.72228608,9.0,32,0.9375,0.17875,0,0.0,0,0.0,2288,0
capacity,GENONLY_EF,32,16,9,1.7448901513941149,9.0,32,0.9375,0.16797153883260976,0,0.0,0,0.0,2288,0
capacity,PROSE,64,16,0,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2247
capacity,GENONLY,64,16,0,1.72900352,9.0,32,0.9375,0.175546875,0,0.0,0,0.0,2247,0
capacity,GENONLY_EF,64,16,0,1.7512025359189582,9.0,32,0.9375,0.16496155933429812,0,0.0,0,0.0,2247,0
capacity,PROSE,64,16,1,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2312
capacity,GENONLY,64,16,1,1.71835392,9.0,32,0.9375,0.180625,0,0.0,0,0.0,2312,0
capacity,GENONLY_EF,64,16,1,1.741195097038109,9.0,32,0.9375,0.16973347805113362,0,0.0,0,0.0,2312,0
capacity,PROSE,64,16,2,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2273
capacity,GENONLY,64,16,2,1.72474368,9.0,32,0.9375,0.177578125,0,0.0,0,0.0,2273,0
capacity,GENONLY_EF,64,16,2,1.7471995603666184,9.0,32,0.9375,0.16687032682103234,0,0.0,0,0.0,2273,0
capacity,PROSE,64,16,3,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2212
capacity,GENONLY,64,16,3,1.73473792,9.0,32,0.9375,0.1728125,0,0.0,0,0.0,2212,0
capacity,GENONLY_EF,64,16,3,1.7565911568548,9.0,32,0.9375,0.16239206464061745,0,0.0,0,0.0,2212,0
capacity,PROSE,64,16,4,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2265
capacity,GENONLY,64,16,4,1.7260544,9.0,32,0.9375,0.176953125,0,0.0,0,0.0,2265,0
capacity,GENONLY_EF,64,16,4,1.7484312451519537,9.0,32,0.9375,0.16628301374819102,0,0.0,0,0.0,2265,0
capacity,PROSE,64,16,5,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2282
capacity,GENONLY,64,16,5,1.72326912,9.0,32,0.9375,0.17828125,0,0.0,0,0.0,2282,0
capacity,GENONLY_EF,64,16,5,1.7458139149831164,9.0,32,0.9375,0.16753105402797877,0,0.0,0,0.0,2282,0
capacity,PROSE,64,16,6,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2284
capacity,GENONLY,64,16,6,1.72294144,9.0,32,0.9375,0.1784375,0,0.0,0,0.0,2284,0
capacity,GENONLY_EF,64,16,6,1.7455059937867827,9.0,32,0.9375,0.16767788229618907,0,0.0,0,0.0,2284,0
capacity,PROSE,64,16,7,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2287
capacity,GENONLY,64,16,7,1.72244992,9.0,32,0.9375,0.178671875,0,0.0,0,0.0,2287,0
capacity,GENONLY_EF,64,16,7,1.7450441119922817,9.0,32,0.9375,0.16789812469850457,0,0.0,0,0.0,2287,0
capacity,PROSE,64,16,8,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2220
capacity,GENONLY,64,16,8,1.7334272,9.0,32,0.9375,0.1734375,0,0.0,0,0.0,2220,0
capacity,GENONLY_EF,64,16,8,1.7553594720694645,9.0,32,0.9375,0.16297937771345875,0,0.0,0,0.0,2220,0
capacity,PROSE,64,16,9,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2215
capacity,GENONLY,64,16,9,1.7342464,9.0,32,0.9375,0.173046875,0,0.0,0,0.0,2215,0
capacity,GENONLY_EF,64,16,9,1.756129275060299,9.0,32,0.9375,0.16261230704293295,0,0.0,0,0.0,2215,0
