bound_mode,mechanism,oversubscription,n_tenants,seed,valid_throughput_Bpns,admission_p99_ns,backlog_wait_p99_ns,pinned_peak,pinned_byte_time_Bns,reclaimable_capacity_frac,nonreclaimable_frac,rpe_payload_frac,blocked_reclaim_ratio
capacity,2PHASE,16,8,5,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,8,5,1.73113344,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17453125,0.0
capacity,PROSE,16,8,6,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,8,6,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,8,6,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,8,6,1.7276928,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.176171875,0.0
capacity,PROSE,16,8,7,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,8,7,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,8,7,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,8,7,1.72261376,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17859375,0.0
capacity,PROSE,16,8,8,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,8,8,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,8,8,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,8,8,1.72572672,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.177109375,0.0
capacity,PROSE,16,8,9,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,8,9,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,8,9,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,8,9,1.72818432,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.1759375,0.0
capacity,PROSE,16,16,0,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,16,0,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,16,0,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,16,0,1.72949504,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.1753125,0.0
capacity,PROSE,16,16,1,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,16,1,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,16,1,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,16,1,1.72720128,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17640625,0.0
capacity,PROSE,16,16,2,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,16,2,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,16,2,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,16,2,1.73703168,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17171875,0.0
capacity,PROSE,16,16,3,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,16,3,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,16,3,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,16,3,1.7440768,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.168359375,0.0
capacity,PROSE,16,16,4,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,16,4,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,16,4,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,16,4,1.72589056,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17703125,0.0
capacity,PROSE,16,16,5,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,16,5,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,16,5,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,16,5,1.73113344,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17453125,0.0
capacity,PROSE,16,16,6,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,16,6,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,16,6,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,16,6,1.7276928,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.176171875,0.0
capacity,PROSE,16,16,7,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,16,7,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,16,7,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,16,7,1.72261376,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17859375,0.0
capacity,PROSE,16,16,8,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,16,8,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,16,8,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,16,8,1.72572672,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.177109375,0.0
capacity,PROSE,16,16,9,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,16,9,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,16,9,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,16,9,1.72818432,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.1759375,0.0
capacity,PROSE,16,32,0,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,32,0,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,32,0,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,32,0,1.72949504,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.1753125,0.0
capacity,PROSE,16,32,1,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,32,1,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,32,1,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,32,1,1.72720128,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17640625,0.0
capacity,PROSE,16,32,2,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,16,32,2,1.0485746892816383,12509.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,2PHASE,16,32,2,1.0485576502411207,175009.0,198000000.0,512,6710886400000000.0,0.0,1.0,0.0,1.0
capacity,GENONLY,16,32,2,1.73703168,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17171875,0.0
capacity,PROSE,16,32,3,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
