workload,seed,method,segment_bytes,makespan_ns,valid_throughput_gbps,total_requested_bytes,total_valid_bytes,total_stale_bytes,total_wire_bytes,total_control_bytes,total_header_bytes,stale_mib_per_gib,control_header_overhead_pct,completed_valid_requests,rejected_requests,aborted_requests,rpe_events,extra_rtt,serialized_acquire_ns,pin_span_ratio_median,pin_span_ratio_p95,evict_attempts_queue,evict_attempts_xfer,evict_attempts_total,evict_fired,evict_blocked,queue_reclaim,n_requests
large_object,1003,GenOnly,0,97862985.21656163,3.0140659243867227,314572800,294965489,8859407,303824896,153600,0,28.839215494791667,0.05055543572044867,1159,41,0,66,0,0.0,0.0,0.0,41,66,107,107,0,Y,1200
large_object,1003,RDMAKey,0,97862985.21656163,3.0140659243867227,314572800,294965489,8859407,303824896,153600,0,28.839215494791667,0.05055543572044867,1159,41,0,66,0,0.0,0.0,0.0,41,66,107,107,0,Y,1200
large_object,1003,Segmented-64,64,97920844.70786819,3.0122849724181227,314572800,294965489,1935,294967424,37024528,73741856,0.006298828125,37.55207354694192,1159,41,66,66,0,0.0,0.0,0.0,41,66,107,107,0,Y,1200
large_object,1003,Segmented-256,256,97871692.70786819,3.0137977676591965,314572800,294965489,7439,294972928,9371504,18435808,0.024215494791666667,9.427072575283926,1159,41,66,66,0,0.0,0.0,0.0,41,66,107,107,0,Y,1200
large_object,1003,Segmented-4096,4096,97863237.21656163,3.0140581631003136,314572800,294965489,130831,295096320,729960,1152720,0.42588216145833335,0.6379883015823443,1159,41,66,66,0,0.0,0.0,0.0,41,66,107,107,0,Y,1200
large_object,1003,Segmented-16384,16384,97863045.21656163,3.0140640764577618,314572800,294965489,536335,295501824,297888,288576,1.7458821614583333,0.198463749584165,1159,41,66,66,0,0.0,0.0,0.0,41,66,107,107,0,Y,1200
large_object,1003,PROSE,0,97862985.21656163,3.104594605689413,314572800,303824896,0,303824896,153600,0,0.0,0.05055543572044867,1159,41,0,0,0,0.0,1.0,1.0,41,66,107,41,66,Y,1200
large_object,1004,NoCheck,0,96205284.62548886,3.1079257669051428,314572800,298998883,15573917,314572800,153600,0,50.696344401041664,0.048828125,1200,0,0,87,0,0.0,0.0,0.0,29,58,87,87,0,Y,1200
large_object,1004,SharedRef,0,96205534.62548886,3.269799406287552,314572800,314572800,0,314572800,230400,0,0.0,0.0732421875,1200,0,0,0,1,250.0,2.36832751857054,9.385022141786616,29,58,87,0,87,N,1200
large_object,1004,TwoPhase,0,96208802.62548886,3.2696883384416986,314572800,314572800,0,314572800,307200,0,0.0,0.09765625,1200,0,0,0,1,3500.0,2.3201879907623377,9.339969963376003,29,58,87,0,87,N,1200
large_object,1004,GenOnly,0,96205302.62548886,3.1079251854126233,314572800,298998883,7971741,306970624,153600,0,25.949677734375,0.050037361229718184,1171,29,0,58,0,0.0,0.0,0.0,29,58,87,87,0,Y,1200
